17 66
0 11 13
0 16 16
0 4 20
1 6 13
1 11 2
1 8 19
2 0 19
2 6 17
2 15 11
2 14 8
2 3 18
2 7 18
2 13 13
3 14 14
3 16 5
3 4 12
3 9 3
3 10 17
4 12 1
4 2 13
4 10 1
5 12 14
5 13 7
6 3 12
6 7 14
6 12 7
6 10 9
7 15 15
8 6 18
8 3 19
8 1 17
8 16 7
8 13 13
8 9 14
8 10 10
9 5 5
9 11 11
9 12 7
10 5 15
10 14 6
10 3 17
10 2 17
11 6 2
11 1 17
11 7 20
11 13 1
12 14 13
12 4 20
13 5 7
13 3 14
13 8 17
13 10 11
14 3 8
14 8 14
14 16 16
14 9 12
14 10 15
15 6 6
15 5 3
15 1 7
15 8 13
15 16 16
15 12 18
16 14 11
16 11 18
16 4 2
4 1
15
