17 70
0 10 9
0 16 3
0 8 10
1 5 18
1 15 15
1 13 9
1 10 8
1 6 20
2 5 10
2 14 5
2 16 3
2 9 11
2 4 1
3 2 6
3 1 3
4 15 12
4 2 3
4 1 16
5 15 10
5 12 6
5 13 15
5 10 6
5 9 14
5 4 16
6 15 17
6 3 17
6 13 11
6 14 15
7 2 8
7 12 1
7 10 9
7 8 4
8 3 2
8 16 9
8 6 2
8 0 15
8 11 11
9 2 8
9 3 17
9 13 13
9 16 14
10 15 3
10 2 19
10 7 4
10 14 6
10 4 2
11 15 16
11 7 7
11 13 16
11 9 10
12 2 12
12 13 5
12 6 8
12 0 19
12 4 9
12 8 4
13 5 3
13 12 17
13 6 14
13 0 17
14 2 19
14 12 16
14 1 11
14 6 4
14 0 13
15 3 13
15 7 3
15 10 6
16 5 19
16 12 17
0 7
14
