18 68
0 1 10
0 8 14
0 2 3
0 3 14
0 16 6
1 12 18
1 6 7
1 5 19
2 11 14
2 5 3
2 16 9
2 10 6
3 8 10
4 9 14
4 15 15
4 11 16
4 8 3
5 11 16
5 13 7
6 9 2
6 7 5
6 8 20
6 4 6
6 5 13
7 17 20
7 15 3
7 8 3
7 2 15
7 5 15
8 2 14
8 13 10
9 7 3
9 15 4
9 14 10
9 2 17
10 17 17
10 9 8
10 14 20
10 13 12
10 5 6
10 16 13
11 1 20
11 12 16
11 4 18
11 10 20
12 1 10
12 17 14
12 2 13
12 4 1
12 6 9
12 0 20
12 3 15
13 1 20
13 17 18
13 14 8
13 8 17
15 11 13
15 4 8
16 7 12
16 15 16
16 8 16
16 4 14
16 10 14
17 15 10
17 11 1
17 14 11
17 2 18
17 13 11
3 8
10
