17 74
0 13 14
0 7 15
1 4 11
1 16 18
2 11 19
2 7 5
2 9 6
2 0 4
3 13 2
3 4 3
3 9 18
3 0 15
3 16 17
3 5 17
3 12 15
4 13 10
4 1 1
4 9 20
4 5 16
4 14 8
5 13 16
5 1 4
5 10 9
5 9 6
5 14 12
5 12 18
6 11 8
6 8 11
6 3 5
6 0 7
6 15 9
6 12 20
7 11 13
7 9 17
7 3 5
7 15 13
7 16 16
7 5 3
7 14 11
8 11 17
8 9 16
8 6 14
8 2 12
8 3 15
8 14 14
9 13 17
9 4 16
9 0 13
10 1 8
11 8 15
11 15 11
11 14 10
11 12 8
12 11 4
12 9 14
12 3 9
12 14 4
13 10 11
13 4 16
13 15 8
13 12 20
14 10 1
14 15 3
14 16 19
15 4 3
15 6 5
15 3 7
15 0 8
16 7 19
16 6 15
16 3 13
16 0 20
16 15 15
16 5 6
1 10
21
