19 82
0 7 14
0 1 10
0 3 5
1 6 15
1 2 3
1 10 5
1 5 16
1 17 18
1 4 20
2 15 2
2 11 19
2 12 16
3 10 12
3 18 9
3 5 16
3 13 12
3 8 11
3 4 5
4 2 7
4 16 12
4 12 13
5 1 5
5 11 16
5 12 7
6 2 5
6 11 13
6 3 10
6 17 6
7 2 6
7 3 9
7 0 10
7 12 4
8 7 9
8 18 16
8 16 5
8 5 3
8 3 8
9 6 16
9 14 7
9 10 15
9 3 12
9 8 9
10 14 12
10 18 6
10 16 16
10 5 17
10 17 9
11 6 10
11 2 12
11 16 8
11 3 15
11 12 19
12 6 5
12 11 10
12 8 16
13 6 15
13 4 2
14 10 8
14 18 13
14 5 11
14 0 4
14 4 18
15 14 7
15 7 5
15 1 7
15 0 2
15 12 18
16 2 9
16 10 19
16 17 1
16 8 7
16 4 6
17 2 7
17 14 19
17 1 14
17 18 14
17 5 4
17 12 2
18 10 19
18 11 10
18 3 6
18 12 12
8 3
41
