17 66
0 15 12
0 3 10
0 6 9
0 10 1
0 7 6
1 11 17
1 8 11
1 5 3
1 7 6
1 0 20
2 15 13
2 11 19
2 13 18
4 10 10
4 0 13
5 3 10
5 8 3
5 12 11
5 1 8
6 15 17
6 0 10
6 13 9
7 15 15
7 9 16
7 4 8
7 14 1
8 15 16
8 5 7
8 10 4
8 12 3
8 16 20
8 14 11
8 0 9
9 3 18
9 6 13
9 8 18
9 2 14
9 14 19
9 13 20
10 11 20
10 9 7
11 5 5
11 7 6
11 16 18
12 15 5
12 6 2
12 2 11
12 16 5
12 9 19
12 4 11
13 11 7
13 3 5
13 6 17
13 5 6
13 7 10
13 0 7
14 15 15
14 4 11
15 11 3
15 1 17
15 16 11
15 9 13
15 14 15
16 15 17
16 6 19
16 8 16
16 7
28
