19 89
0 5 19
0 13 19
0 10 4
0 15 4
0 4 17
1 5 6
1 7 1
1 8 7
1 3 1
1 6 14
2 5 5
2 11 1
2 3 4
2 1 18
3 8 12
3 18 18
3 14 1
3 16 14
3 4 4
3 17 5
3 0 19
4 11 1
4 3 7
4 12 6
4 13 12
4 10 13
4 1 6
4 16 1
5 11 11
5 7 20
5 1 17
5 16 20
6 11 20
6 3 6
6 18 6
7 9 16
7 2 15
7 3 17
7 14 11
7 15 6
7 17 12
8 7 19
8 6 20
8 1 7
8 16 3
8 4 2
8 17 12
9 2 20
9 8 2
9 6 17
9 13 2
9 1 20
9 4 13
9 17 9
10 9 18
10 5 18
10 11 16
11 9 20
11 5 10
11 7 18
11 10 12
11 18 6
11 16 10
12 9 18
12 3 7
12 1 1
13 9 4
13 2 4
13 5 17
13 14 12
13 17 8
14 11 10
14 3 5
14 18 5
15 3 2
15 1 9
15 0 13
16 11 5
16 8 4
16 18 16
16 0 15
17 7 8
17 18 12
17 14 13
18 8 14
18 12 12
18 14 13
18 4 15
18 0 6
6 13
32
