18 71
0 17 13
0 6 19
0 13 19
1 16 11
1 11 1
1 3 18
1 14 16
2 0 8
2 11 11
2 17 10
2 9 18
2 13 20
2 10 17
2 4 20
3 2 15
3 11 13
3 6 15
3 12 16
3 7 9
4 11 14
4 3 4
4 5 16
4 8 2
4 12 17
4 1 12
4 10 3
5 15 7
5 6 7
5 1 2
6 11 14
6 12 9
6 13 12
6 10 18
6 7 16
7 2 13
7 11 3
7 9 1
8 4 4
9 8 18
9 6 15
9 12 7
9 13 2
10 2 16
10 3 16
11 5 19
11 15 5
11 4 13
12 16 11
12 7 5
13 0 11
13 5 4
13 8 16
13 15 10
13 9 1
13 4 11
14 12 2
14 13 4
15 16 4
15 5 20
15 6 8
15 1 11
15 10 20
15 4 11
16 8 20
16 14 2
16 15 8
16 6 9
17 0 18
17 5 4
17 8 8
17 9 10
17 9
30
