20 95
0 1 9
1 7 6
1 10 1
1 17 13
2 3 11
2 8 7
3 5 9
3 12 19
3 4 1
3 9 4
4 18 3
4 6 9
4 12 7
4 8 10
4 17 8
5 19 6
5 3 15
5 4 11
5 17 17
6 5 1
6 8 7
7 1 14
7 14 20
7 5 7
7 16 16
8 15 6
8 18 1
8 11 9
8 2 15
8 9 8
8 17 6
9 14 14
9 6 16
9 0 6
9 7 14
10 1 11
10 5 14
10 19 13
10 11 14
10 3 6
10 16 17
10 4 18
10 8 20
11 13 3
11 16 9
11 7 9
11 17 13
12 1 2
12 14 16
12 15 13
12 19 15
12 18 4
12 6 14
12 9 9
13 5 17
13 6 6
13 12 15
13 3 2
13 4 10
13 2 19
13 0 10
14 6 9
14 12 17
14 3 12
14 0 4
15 1 11
15 14 10
15 19 7
15 13 10
15 3 13
15 9 18
16 15 11
16 11 11
16 2 15
16 0 14
16 17 17
17 18 12
17 6 16
17 13 19
17 8 5
17 0 11
17 7 14
18 14 16
18 11 5
18 16 11
18 0 11
18 10 19
19 1 12
19 14 10
19 12 19
19 3 2
19 2 6
19 8 10
19 10 14
19 9 10
17 14
65
