19 87
0 13 12
0 12 10
0 5 1
0 17 16
0 18 20
1 9 8
1 10 9
2 16 16
2 3 15
2 12 4
2 8 6
2 7 18
2 4 19
3 13 4
3 16 17
3 14 7
3 18 15
3 15 4
3 10 7
4 12 15
4 2 5
4 9 5
4 17 2
5 12 4
5 2 8
5 4 3
6 13 1
6 3 20
6 12 15
6 7 17
6 11 15
7 16 1
7 6 13
7 2 17
7 9 14
7 1 5
7 0 13
7 10 18
8 6 3
8 3 4
8 2 14
8 4 19
9 14 9
9 1 8
9 15 5
10 2 8
10 14 6
10 8 20
10 9 8
10 11 10
11 3 3
11 14 20
11 5 17
12 6 15
12 3 3
12 7 9
12 11 13
12 1 15
12 10 2
13 3 1
13 9 15
13 4 2
13 17 10
14 8 8
14 4 19
14 17 6
15 16 15
15 3 4
15 12 4
15 14 7
15 8 15
15 0 13
16 2 17
16 7 16
16 11 20
16 18 17
16 15 10
17 16 1
17 4 16
17 11 18
17 18 10
17 1 13
18 13 14
18 6 4
18 3 15
18 8 8
18 7 17
3 5
18
