19 99
0 5 16
0 7 18
0 11 7
0 1 19
0 10 19
0 8 5
0 18 8
1 4 7
1 7 4
1 17 15
1 12 14
1 14 7
1 18 11
2 4 4
2 9 3
2 3 5
3 1 18
3 6 15
3 0 11
4 5 9
4 1 16
4 9 3
4 2 17
4 8 10
4 3 1
5 7 4
5 17 9
5 12 2
5 2 5
5 6 13
5 15 10
5 18 14
5 16 16
6 4 5
6 7 10
6 11 18
6 8 9
6 0 13
6 18 8
6 3 2
7 5 6
7 17 6
7 12 18
7 9 11
7 13 15
7 14 13
7 15 18
7 3 19
8 4 17
8 12 14
8 11 19
8 1 15
8 2 11
8 15 7
8 0 17
9 14 2
9 15 4
9 16 10
9 3 2
10 7 20
10 17 17
10 12 11
10 8 1
10 6 8
10 3 2
11 8 19
11 15 2
12 13 9
12 15 8
12 0 16
13 4 3
13 5 20
13 11 10
13 2 14
13 8 20
13 6 16
13 0 10
13 16 16
14 10 8
14 15 3
14 18 6
15 4 6
15 12 3
15 11 9
15 9 18
15 13 20
16 7 5
16 8 6
16 6 8
16 15 16
16 3 19
17 7 13
17 12 9
17 8 11
17 6 15
17 0 5
18 4 14
18 13 20
18 15 14
9 7
18
