20 107
0 13 5
0 3 15
0 5 1
0 1 16
0 8 18
0 11 5
1 13 3
1 5 2
1 0 6
1 6 11
2 3 18
2 15 8
2 4 5
2 5 6
2 10 12
2 0 12
3 16 20
3 14 7
3 12 1
3 6 17
4 15 15
4 9 20
4 16 4
4 10 2
4 12 2
4 0 17
5 13 3
5 3 4
5 7 11
5 9 17
5 16 17
5 17 14
5 14 12
5 6 20
6 7 5
6 18 2
6 10 13
6 12 18
6 11 14
6 2 5
7 4 2
7 9 10
7 16 10
7 0 19
7 6 5
8 4 16
8 9 9
8 10 11
8 14 3
8 12 17
9 13 12
9 10 9
9 2 10
9 19 3
9 6 13
10 13 18
10 3 19
10 15 18
10 5 20
10 16 12
10 0 2
10 6 1
11 17 6
11 18 14
11 10 13
11 14 3
12 18 19
12 14 11
12 8 13
12 11 20
13 3 17
13 15 9
13 5 4
13 14 5
13 12 20
13 11 9
13 2 14
13 19 18
14 3 4
14 4 15
14 18 15
15 7 7
15 5 20
15 1 2
15 14 15
15 2 8
15 6 5
16 13 20
16 7 13
16 12 4
16 11 2
17 3 17
17 7 11
17 18 16
17 10 6
17 8 13
17 0 11
18 3 13
18 15 18
18 4 13
18 17 8
18 12 9
18 19 15
18 6 14
19 7 4
19 17 3
19 12 15
8 7
51
