18 74
0 16 9
0 15 5
1 14 9
1 4 17
1 13 11
2 9 11
2 15 9
2 0 4
3 16 13
3 2 11
3 12 13
4 9 14
4 7 20
4 12 18
4 15 4
4 5 12
5 16 19
5 6 9
6 9 17
6 7 12
6 5 6
6 17 15
7 11 5
7 6 14
7 3 3
7 15 14
8 2 2
8 7 15
8 12 16
8 17 13
8 0 6
9 6 4
9 7 8
9 0 3
10 11 9
10 14 17
10 1 19
10 9 18
10 3 3
10 4 9
10 5 3
10 17 13
11 16 8
11 2 6
11 8 18
11 4 13
12 11 19
12 1 17
12 8 16
12 15 13
13 16 20
13 14 9
13 6 14
13 9 16
13 8 7
13 7 1
13 5 7
13 17 14
14 8 14
14 12 8
14 13 4
14 0 12
15 10 13
15 2 14
15 12 14
15 17 5
16 14 20
16 7 17
16 5 16
16 13 1
17 10 20
17 1 17
17 12 3
17 15 9
1 13
16
