19 75
0 5 20
0 15 11
0 12 12
0 14 12
1 9 2
1 12 12
1 17 6
1 14 14
2 9 9
2 4 15
2 8 3
3 18 3
3 15 2
3 4 13
3 7 13
3 14 3
3 10 1
4 12 6
4 14 1
5 8 12
5 14 2
5 10 12
6 11 16
6 9 14
6 7 16
6 17 17
6 10 7
7 11 1
7 3 14
8 6 8
8 11 6
8 3 2
8 9 10
8 10 5
9 16 17
9 5 3
9 3 12
9 15 8
9 8 5
9 13 16
10 3 11
10 4 16
10 17 6
10 14 4
11 6 13
11 16 19
11 3 3
11 8 19
11 0 6
12 2 13
12 5 5
12 7 12
12 14 4
13 1 18
13 5 13
13 12 17
14 18 4
14 2 1
14 16 7
14 4 8
14 12 11
14 10 4
15 9 10
15 8 15
15 0 11
16 11 2
16 12 20
16 8 5
17 12 8
17 7 20
17 8 3
18 6 9
18 5 20
18 3 6
18 4 17
6 16
43
