20 96
0 16 19
0 9 6
0 7 1
1 4 1
1 10 16
1 6 10
1 5 2
1 19 5
1 2 11
2 3 5
2 7 11
2 13 9
3 9 3
3 5 19
3 19 10
3 13 12
3 17 15
4 16 6
4 10 10
4 7 11
4 18 14
4 13 14
5 4 17
5 9 19
5 11 19
5 7 16
5 1 18
6 16 11
6 14 18
6 5 15
6 7 11
6 18 6
6 1 11
6 2 4
7 0 18
7 14 9
7 9 15
7 3 17
7 15 7
7 19 5
7 8 17
8 14 16
8 6 12
8 15 8
8 13 11
9 16 5
9 0 16
9 4 16
10 4 20
10 9 18
10 5 19
11 7 3
11 18 8
11 8 12
12 4 11
12 11 13
12 2 4
13 0 6
13 4 16
13 10 11
13 6 4
13 3 13
13 7 7
13 17 18
14 10 5
14 5 8
14 8 17
15 14 1
15 9 11
15 7 2
15 19 3
15 17 16
16 4 16
16 10 1
16 9 3
16 5 13
16 7 4
16 13 2
17 14 11
17 10 18
17 9 20
17 11 14
17 15 10
17 13 11
17 8 20
17 2 6
18 0 4
18 11 12
19 16 1
19 0 9
19 4 10
19 9 4
19 3 8
19 7 1
19 1 2
19 13 11
6 3
43
