20 92
0 10 10
0 5 14
0 14 3
0 2 20
0 15 16
0 7 6
0 1 9
1 6 10
1 13 3
1 18 12
1 5 9
1 11 11
1 3 17
1 14 9
2 10 20
2 11 14
2 15 8
2 7 8
3 13 18
3 8 11
3 4 3
3 17 6
3 16 3
4 10 4
4 9 5
4 5 10
4 2 18
4 7 6
4 12 6
5 10 4
5 13 2
5 8 1
5 1 18
6 13 7
6 18 16
6 11 1
6 15 6
6 19 12
7 8 12
7 11 19
7 2 10
7 12 4
8 18 19
8 3 13
8 7 5
9 10 2
9 18 2
9 4 4
9 16 2
9 1 11
10 5 5
11 10 17
11 13 1
11 8 17
11 3 11
11 2 18
12 6 7
12 2 8
12 17 3
12 7 3
13 10 6
13 3 2
13 7 12
14 13 9
14 18 10
14 5 16
14 3 20
14 19 17
15 18 19
15 5 19
15 3 17
15 14 5
15 17 15
16 10 18
16 1 20
17 9 13
17 18 14
17 5 11
17 11 15
17 19 6
17 16 1
17 0 10
18 10 14
18 13 17
18 5 4
18 3 4
18 1 13
19 10 3
19 4 11
19 3 8
19 15 1
19 1 14
10 3
5
