20 100
0 7 12
0 18 17
0 8 10
0 15 5
0 2 17
0 14 4
1 7 2
1 10 7
1 18 7
1 15 9
1 14 4
2 9 18
2 7 16
2 0 13
2 18 1
3 19 9
3 8 20
4 0 2
4 15 9
4 14 11
5 12 1
5 19 14
5 2 20
6 3 4
6 7 2
6 12 3
6 19 15
6 10 11
6 4 4
6 14 20
7 19 18
7 0 1
7 5 6
7 2 1
8 7 7
8 12 19
8 6 4
8 10 10
8 0 4
8 5 2
8 1 9
8 14 11
9 3 1
9 19 7
9 1 5
9 14 1
10 19 4
10 6 6
10 5 15
10 15 11
10 13 17
10 11 5
11 3 18
11 7 19
11 19 8
11 18 4
11 8 19
11 5 3
11 13 13
11 14 11
12 7 4
12 19 3
12 16 17
12 17 13
13 12 17
13 10 16
13 18 15
13 15 3
13 2 6
13 16 6
13 14 1
14 12 11
14 6 6
14 0 9
14 2 11
14 4 3
14 17 18
15 6 5
15 11 2
15 14 1
16 10 4
16 18 16
16 15 16
16 14 8
17 9 3
17 10 8
17 0 18
17 18 4
17 5 20
17 15 4
17 1 16
17 11 3
17 14 6
18 9 15
18 3 17
18 10 12
18 8 15
19 3 13
19 2 14
19 11 14
16 10
36
