20 107
0 14 11
0 8 18
0 10 1
0 18 18
0 2 19
1 11 7
1 14 16
1 17 14
1 9 16
1 0 5
1 3 4
1 15 5
1 13 14
2 5 17
2 14 18
2 17 19
2 15 18
2 18 8
2 19 17
2 4 4
2 1 15
2 13 19
3 5 1
3 7 10
4 5 17
4 17 13
5 12 18
5 16 19
5 0 10
5 8 1
5 19 18
5 1 12
6 11 7
6 0 8
6 15 6
6 18 3
6 2 8
6 7 17
7 5 2
7 16 14
7 17 7
7 9 5
7 0 9
7 3 16
7 15 12
7 2 11
7 1 10
7 13 5
8 12 5
8 16 10
8 0 14
8 18 16
8 4 13
9 12 6
9 17 11
9 19 1
9 7 4
10 9 13
10 3 1
10 8 5
10 6 2
11 5 7
11 17 3
11 9 11
11 15 4
11 18 15
11 4 18
12 11 8
12 5 5
12 0 2
12 18 8
12 19 14
12 13 5
13 5 13
13 10 16
13 15 4
13 4 17
14 11 20
14 12 18
14 10 14
14 15 1
14 4 3
15 16 9
15 10 10
15 18 3
15 2 12
16 11 14
16 5 12
16 12 12
16 6 19
16 19 8
16 4 13
17 11 4
17 12 18
17 19 13
17 13 19
18 14 2
18 12 13
18 17 4
18 1 6
18 13 5
19 12 12
19 3 5
19 15 12
19 6 6
19 7 5
19 13 7
11 16
52
