18 72
0 3 16
0 15 5
0 4 11
1 10 5
1 7 4
1 15 17
1 12 16
1 0 15
2 13 16
2 3 9
2 4 10
3 4 20
3 11 2
4 13 14
4 3 16
4 12 20
5 16 18
5 15 1
5 4 2
5 17 12
6 13 5
6 3 17
6 15 12
6 4 20
6 0 10
7 8 15
7 16 1
7 1 13
7 5 13
7 15 17
7 4 10
7 14 9
7 6 1
8 7 10
8 14 17
8 6 12
9 8 16
9 10 16
9 2 15
9 7 18
10 8 18
10 15 8
10 12 8
10 0 13
11 16 17
11 1 14
11 17 7
12 13 1
12 16 3
12 15 7
12 17 2
12 6 1
13 16 16
13 9 5
13 12 8
14 8 11
14 17 16
14 0 18
14 11 19
15 13 14
15 10 17
15 4 2
15 9 19
16 13 18
16 8 10
16 15 2
16 17 10
16 12 16
16 6 9
16 11 3
17 10 19
17 2 13
11 17
38
