20 89
0 2 11
0 18 6
0 15 9
0 17 3
1 7 14
1 15 3
1 12 2
1 10 12
2 5 7
2 6 17
2 15 4
2 14 5
2 13 12
3 6 18
3 0 14
3 15 10
3 16 14
3 17 7
4 7 3
4 5 11
4 2 11
4 18 4
4 15 4
4 13 3
4 16 15
4 17 20
5 11 15
6 7 20
6 2 3
6 19 19
6 18 18
6 0 19
6 14 5
6 12 16
6 10 8
6 17 2
7 6 2
7 15 2
7 10 2
7 9 6
8 11 18
8 13 5
8 9 7
9 19 18
9 18 2
9 11 9
9 15 14
10 7 6
10 19 2
10 0 16
10 15 7
10 8 4
10 1 10
11 0 15
11 16 5
11 9 19
12 2 13
12 19 17
12 18 2
13 5 19
13 6 15
13 11 7
13 0 20
13 3 18
13 10 16
14 2 8
14 15 1
14 1 16
15 7 15
15 2 1
15 6 16
15 3 18
15 17 9
16 7 12
16 6 19
16 18 16
16 12 7
17 0 10
17 10 3
18 7 11
18 5 16
18 4 15
18 2 18
18 13 18
18 3 19
19 7 16
19 0 20
19 10 11
19 1 11
4 15
54
