20 93
0 13 3
0 16 1
0 14 9
1 10 17
1 15 11
2 0 19
2 12 12
2 4 9
2 8 17
2 17 8
3 9 15
3 12 6
3 14 6
3 17 3
4 8 17
4 6 15
4 11 17
4 17 16
5 10 12
5 3 20
5 14 15
5 7 7
5 2 9
6 13 1
6 16 6
6 14 10
6 18 19
6 2 1
6 1 15
6 5 9
7 16 13
7 8 9
7 11 15
7 17 18
8 13 16
8 12 5
8 15 6
8 7 18
8 1 6
8 11 16
8 17 15
9 15 10
9 8 13
9 5 3
10 3 9
10 14 16
10 4 1
10 6 5
10 17 19
11 9 20
11 19 3
11 13 19
12 16 14
12 6 8
13 9 13
13 12 6
13 18 11
13 7 14
13 6 3
14 3 7
14 4 3
14 6 11
15 19 5
15 16 4
15 14 3
15 4 12
15 7 20
15 6 1
15 1 2
15 11 12
16 14 20
16 15 4
16 11 8
17 13 11
17 16 3
17 4 7
17 8 10
17 6 5
17 5 7
18 10 5
18 9 9
18 13 1
18 12 12
18 16 10
18 4 12
18 8 2
18 2 4
19 9 8
19 12 17
19 15 18
19 4 6
19 6 5
19 17 13
0 8
13
