19 78
0 18 1
0 16 4
0 3 6
0 4 6
0 11 11
0 12 20
1 9 13
1 10 17
1 12 3
2 9 10
2 0 11
2 10 16
2 4 17
2 14 13
2 1 15
3 4 17
3 7 6
3 11 15
4 9 10
4 18 1
4 16 10
4 6 14
4 12 7
5 10 15
6 9 15
6 18 8
6 16 19
6 8 1
6 2 1
6 1 10
7 18 16
7 16 14
7 8 3
7 6 14
7 17 10
7 12 8
8 18 2
8 0 12
8 16 13
8 7 1
8 11 14
9 13 1
9 14 19
9 17 1
9 1 10
10 0 2
10 8 11
10 2 7
10 12 13
11 10 4
11 15 3
11 1 16
11 12 2
12 18 9
12 0 12
12 10 6
12 5 18
13 15 19
13 14 5
13 1 8
14 16 5
14 2 13
14 7 4
15 9 8
15 5 15
15 16 15
15 17 11
15 2 18
15 11 17
16 5 1
17 3 9
17 1 1
18 13 2
18 0 5
18 16 13
18 14 7
18 7 11
18 11 5
0 1
45
