19 85
0 11 12
0 18 9
0 10 12
0 16 7
0 8 13
0 4 6
0 13 3
1 6 10
1 2 10
1 16 14
2 11 19
2 17 17
2 5 6
2 12 5
2 10 4
2 9 5
3 6 4
3 17 19
3 5 10
3 18 2
3 2 10
3 15 1
4 17 14
4 10 2
4 14 17
4 9 2
4 7 17
5 6 16
5 13 14
5 0 6
6 7 19
6 15 11
7 5 10
7 12 17
7 3 16
7 16 1
7 14 18
8 17 2
8 12 8
8 1 1
8 13 8
8 15 7
9 12 9
9 2 20
9 16 15
9 4 8
10 14 12
10 9 8
11 16 20
11 0 1
12 13 3
13 6 16
13 14 15
13 8 8
13 15 6
14 6 8
14 18 12
14 16 1
14 1 19
14 8 13
14 0 15
14 15 5
15 6 17
15 17 7
15 12 20
15 18 12
15 2 10
15 16 5
15 14 20
15 8 8
15 9 16
15 7 10
16 18 2
16 15 16
17 6 7
17 5 2
17 12 10
17 10 7
17 14 5
17 8 15
17 13 7
18 6 1
18 17 11
18 10 19
18 9 1
17 15
46
