18 71
0 9 12
0 7 15
0 16 13
0 13 2
1 7 6
1 12 12
1 11 13
2 10 19
2 0 1
2 17 14
3 9 16
3 0 7
3 2 20
3 8 17
3 15 7
4 3 19
4 7 16
4 2 5
4 16 2
4 17 7
5 9 7
6 3 4
6 1 17
6 15 10
7 9 7
7 4 20
7 10 14
7 13 7
7 17 8
8 3 8
8 4 11
8 10 18
9 3 20
9 15 14
9 13 1
10 6 3
10 2 9
10 12 7
10 5 6
11 9 15
11 2 16
11 8 19
11 16 7
11 5 17
11 17 13
12 4 15
12 13 13
13 3 18
13 14 12
13 6 1
13 0 13
13 8 4
13 11 5
14 7 19
14 8 16
14 5 7
14 15 20
14 17 20
15 6 18
15 8 4
15 12 1
15 5 20
16 9 2
16 1 15
16 14 5
16 12 2
16 17 16
17 4 7
17 0 9
17 16 19
17 15 12
4 16
41
