17 69
0 4 18
0 3 4
1 0 1
1 7 5
2 15 4
2 0 15
2 12 8
2 5 6
2 8 13
2 7 11
3 4 6
3 15 14
3 5 17
3 8 9
3 11 8
4 14 19
4 12 5
4 5 17
4 6 2
5 0 6
5 12 5
5 1 8
5 7 18
5 6 16
6 3 15
6 0 6
7 4 1
7 13 15
7 0 8
7 16 20
7 12 18
7 8 16
8 4 3
8 2 18
8 10 7
8 16 5
8 6 10
9 3 3
9 10 7
9 14 8
9 7 9
9 6 10
10 15 15
10 16 3
10 1 6
10 6 14
10 11 11
11 4 2
11 10 12
11 7 17
12 2 14
12 13 11
12 10 3
12 1 7
12 6 4
13 4 6
13 8 5
13 7 15
14 10 16
14 8 3
14 6 19
14 11 15
15 13 10
15 0 18
15 10 9
15 8 14
15 9 20
16 5 5
16 9 12
8 7
43
