18 70
0 3 18
0 4 15
0 10 18
0 11 8
1 12 5
1 14 3
1 7 4
2 9 11
2 7 14
2 15 10
2 11 18
3 1 11
3 12 1
3 10 5
3 13 6
3 5 12
4 3 12
4 0 6
4 7 7
4 16 12
4 5 2
5 9 6
5 14 6
5 8 11
5 13 12
5 15 19
6 8 6
6 15 16
6 5 11
7 0 12
7 15 4
8 1 18
8 9 6
8 4 12
8 17 4
8 15 6
9 12 7
9 0 7
9 10 9
9 16 12
9 15 6
9 2 13
10 1 17
10 0 12
10 4 8
10 17 9
10 8 10
10 13 4
11 1 10
11 0 16
11 17 10
11 8 11
11 2 5
11 5 17
12 16 5
12 2 19
13 6 12
13 16 12
13 11 1
14 0 20
14 11 4
15 9 8
15 7 20
15 16 1
15 8 2
16 12 2
16 10 15
16 8 11
17 3 12
17 11 6
3 0
35
