17 67
0 15 4
0 11 2
0 16 8
0 14 18
1 4 20
2 4 20
2 7 14
2 11 3
2 8 17
3 0 3
3 6 12
4 16 5
5 2 9
5 15 14
5 12 11
5 3 6
5 11 12
5 9 19
6 2 9
6 15 7
6 12 1
6 1 12
6 16 2
6 14 20
7 4 18
7 5 9
7 10 6
7 11 5
7 16 16
7 6 3
8 15 8
8 4 11
9 2 6
9 4 6
9 12 10
9 7 20
9 5 18
9 11 15
10 5 11
10 3 6
10 11 15
10 13 5
11 15 9
11 5 3
11 1 8
11 9 2
11 13 14
11 14 4
12 6 13
13 7 16
14 15 20
14 7 15
14 0 7
14 5 19
14 1 10
14 9 13
15 1 17
15 9 6
15 14 4
15 8 15
15 6 1
16 12 12
16 5 11
16 10 1
16 3 16
16 9 6
16 6 16
10 14
31
