19 74
0 18 16
0 11 10
1 12 3
1 4 1
1 8 18
2 9 9
2 16 15
2 17 2
2 4 5
3 18 1
3 10 15
3 6 12
3 0 10
4 11 15
4 0 11
4 7 20
5 15 2
5 12 13
6 16 13
6 17 17
6 18 9
6 14 11
6 13 13
6 0 19
6 3 6
7 17 9
7 18 19
7 12 20
8 15 10
8 12 1
8 4 12
8 3 1
9 6 6
9 0 1
9 4 4
9 8 11
9 3 16
10 6 6
10 11 5
10 13 17
10 3 13
11 10 11
11 6 20
11 12 3
12 6 16
13 2 16
13 17 7
13 18 4
13 10 13
13 5 4
13 12 1
14 2 2
14 9 3
14 17 6
14 18 10
14 5 16
14 4 10
15 18 1
15 10 1
15 5 4
15 14 18
15 13 3
16 2 17
16 9 7
16 14 3
16 13 3
16 12 20
17 9 4
17 4 1
17 3 2
18 9 19
18 16 17
18 17 6
18 14 9
18 7
20
