16 76
0 13 4
0 3 20
0 9 18
0 5 9
0 14 14
0 7 17
1 12 19
1 6 7
1 4 19
1 14 9
2 11 15
2 3 14
2 12 1
2 14 7
2 1 10
3 14 9
3 1 7
4 11 8
4 2 19
4 9 18
4 5 15
4 7 17
5 11 3
5 15 9
5 3 12
5 6 2
6 11 2
6 4 10
6 8 16
7 15 2
7 9 8
7 1 12
7 0 20
8 13 5
8 15 9
8 3 20
8 2 5
8 5 9
8 4 10
8 1 20
8 0 19
8 7 5
9 10 18
9 5 11
9 1 10
9 7 4
10 3 1
10 1 7
11 15 4
11 2 4
11 6 14
11 4 4
11 14 1
11 0 14
12 13 8
12 15 17
12 2 6
12 5 6
12 14 7
12 7 4
13 11 14
13 12 12
13 9 3
13 6 6
13 5 11
13 4 2
13 1 6
13 0 16
13 7 12
14 12 4
15 3 18
15 12 8
15 6 17
15 1 16
15 0 19
15 7 4
15 10
18
