19 90
0 7 12
0 4 7
0 2 2
0 8 3
0 12 9
0 9 13
1 16 11
1 3 7
1 18 1
1 0 9
1 13 5
2 16 7
2 18 17
2 11 7
2 6 14
2 13 17
3 18 9
3 0 14
3 17 19
3 4 13
3 2 1
3 15 11
3 6 4
4 3 6
4 11 1
4 2 5
4 15 6
4 8 2
4 10 17
4 13 1
5 1 16
5 18 20
5 17 15
5 12 8
5 6 19
5 9 5
6 11 11
6 0 1
6 7 19
6 4 6
6 2 13
6 9 10
7 3 20
7 8 6
8 14 15
8 7 8
8 15 2
8 6 14
8 10 6
9 1 4
9 17 18
9 4 16
9 15 11
9 8 13
10 0 11
10 4 8
10 2 20
10 5 6
11 1 11
11 2 5
11 12 17
12 3 19
12 11 12
12 0 16
12 17 5
13 0 16
13 7 16
13 5 10
13 6 18
13 9 11
13 10 3
14 8 16
15 1 14
15 11 5
15 4 19
15 6 11
15 13 5
16 18 11
16 11 15
16 6 1
16 13 17
17 1 19
17 3 11
17 18 2
17 11 19
17 7 2
17 6 13
18 7 3
18 4 1
18 13 11
1 16
18
