20 79
0 1 3
0 8 4
0 4 19
1 0 14
1 9 13
1 13 14
1 11 12
2 7 19
3 14 6
3 9 16
3 2 20
4 17 17
4 11 17
5 18 7
5 3 15
5 9 13
5 12 1
5 7 13
6 0 10
7 17 15
7 18 8
7 19 11
7 13 15
7 11 20
7 16 1
7 15 9
7 12 15
8 17 7
8 5 9
8 11 16
8 4 15
9 10 9
9 13 9
9 11 11
9 6 14
9 7 6
10 1 17
10 0 18
10 11 8
10 16 2
11 8 4
11 3 10
11 6 1
12 17 16
12 11 2
12 16 13
12 6 16
13 17 15
13 10 15
13 15 4
13 2 5
13 4 8
13 7 13
14 13 9
14 15 7
14 4 10
14 7 1
15 17 14
15 10 15
15 5 20
15 12 20
16 14 2
16 8 17
16 18 16
16 3 12
16 6 1
16 2 3
17 0 12
17 18 19
17 5 4
17 11 2
17 2 17
17 12 12
18 0 1
18 9 1
18 11 10
18 16 12
18 15 9
19 2 20
3 10
39
