19 86
0 2 3
1 10 4
1 16 2
1 11 18
1 8 17
1 3 14
1 4 6
1 12 3
1 13 8
2 14 5
2 0 18
2 5 13
3 10 17
3 18 1
3 8 16
3 17 15
4 10 14
4 8 19
4 17 1
4 13 17
5 10 15
5 14 5
5 0 7
5 6 1
5 15 10
5 9 20
6 0 1
6 1 5
6 3 7
6 12 5
6 9 15
7 14 14
7 2 7
7 8 2
7 9 8
8 10 8
8 1 3
8 17 9
9 14 6
9 0 18
9 18 14
9 1 20
9 5 4
10 1 10
10 4 20
10 12 16
11 2 9
11 3 11
11 5 7
11 12 20
12 16 7
12 0 13
12 2 9
12 1 7
12 17 11
12 5 16
13 16 5
13 0 14
13 6 7
13 8 6
13 3 7
13 5 7
13 15 1
13 9 11
14 11 15
14 2 4
14 1 3
14 4 11
15 7 12
15 11 13
15 2 20
15 17 14
15 4 16
16 10 14
16 14 14
16 18 12
16 8 6
16 3 6
16 4 2
16 13 2
16 9 11
17 10 1
17 3 3
17 13 11
18 11 3
18 2 19
4 15
11
