20 88
0 13 15
0 5 3
1 15 2
1 16 13
1 4 14
2 8 3
2 11 6
2 5 20
3 19 7
3 18 4
4 9 14
4 0 14
4 16 7
4 17 10
4 10 6
4 6 18
5 0 11
5 14 2
5 13 13
5 8 2
5 3 7
6 0 18
6 2 11
6 7 13
6 5 10
6 1 15
6 10 18
6 3 4
6 4 13
7 9 19
7 16 15
7 18 11
7 6 14
8 19 2
8 2 13
8 13 6
8 5 7
8 12 17
9 8 12
9 7 14
9 3 2
10 19 11
10 16 2
10 7 5
10 11 6
10 1 1
10 4 7
11 9 14
11 15 20
11 19 14
11 13 19
11 17 14
11 1 13
11 3 17
11 6 18
12 16 7
12 8 9
12 10 10
12 3 1
13 9 9
13 15 16
13 16 1
13 2 3
13 17 8
13 18 15
13 3 19
14 7 8
14 1 18
14 10 2
15 16 1
15 8 6
15 11 12
15 12 17
15 4 1
16 7 14
16 4 4
17 13 4
17 1 17
17 18 18
17 3 18
18 19 6
18 8 19
18 17 17
18 7 10
18 12 7
19 17 12
19 7 11
19 12 19
7 8
43
