17 67
0 9 5
0 7 9
0 2 4
0 5 4
1 3 12
1 16 20
1 7 2
2 9 16
2 14 15
2 1 19
2 11 8
3 14 17
3 6 11
3 15 18
4 9 1
4 6 15
4 12 19
4 2 14
4 8 12
5 9 2
5 6 4
5 13 9
5 1 20
5 4 14
5 15 6
6 9 6
6 3 3
6 1 14
6 8 18
6 5 5
7 14 6
7 5 11
8 0 7
8 16 19
8 12 20
9 3 12
9 12 16
10 3 18
10 16 20
11 6 15
11 0 16
11 8 17
12 9 19
12 14 12
12 0 14
12 13 12
12 1 6
12 7 13
12 2 14
12 8 13
12 15 13
13 14 14
13 1 1
13 2 13
13 5 1
14 0 7
14 13 15
14 16 20
14 5 7
15 12 14
15 2 6
15 8 8
16 10 17
16 1 19
16 4 15
16 11 6
16 7 5
11 4
29
