18 86
0 11 3
0 8 8
0 10 19
0 13 1
1 11 12
1 0 3
1 13 2
1 12 7
1 17 4
2 3 13
2 0 1
2 6 19
2 17 13
3 2 10
3 9 18
3 7 18
3 12 1
4 5 16
4 2 3
4 0 16
4 9 16
4 10 15
4 7 6
4 17 14
5 2 9
5 8 5
5 14 5
5 9 17
6 5 17
6 14 3
6 3 2
6 0 4
6 10 1
6 4 1
6 12 16
7 5 6
7 8 11
7 3 13
7 13 13
8 11 12
8 6 6
8 7 5
8 17 13
9 5 10
9 2 1
9 8 18
9 14 19
9 0 10
9 13 10
9 12 14
10 16 7
10 5 7
10 6 5
10 12 4
11 8 20
11 14 15
11 0 4
11 13 17
11 4 19
11 12 14
12 1 4
12 14 18
12 15 18
12 10 18
13 16 14
13 5 17
13 11 18
13 3 12
13 10 13
14 1 16
14 2 10
14 3 4
14 9 20
14 15 17
15 11 5
15 13 16
15 4 6
15 17 11
16 5 19
16 14 12
16 0 17
17 16 1
17 5 20
17 9 13
17 15 8
17 13 8
15 1
20
