18 72
0 9 4
0 13 18
0 7 5
0 16 20
0 5 7
0 4 1
1 13 8
1 6 19
1 15 18
1 14 10
1 3 19
1 10 10
1 4 9
2 0 5
2 13 20
2 6 16
2 14 10
2 8 8
3 9 7
3 2 14
3 1 17
4 0 5
4 10 2
5 0 14
5 7 15
6 2 20
6 15 8
6 14 1
6 16 19
6 4 11
7 16 7
7 1 19
8 14 8
8 11 5
8 4 8
9 15 18
9 14 2
9 11 3
9 3 15
9 17 14
10 13 16
10 7 17
10 6 3
10 14 2
10 8 8
10 16 12
10 17 9
11 9 9
11 13 20
11 15 8
11 3 13
12 9 5
12 2 2
12 14 6
13 0 9
13 6 8
13 10 19
13 17 7
14 0 20
14 6 14
14 1 3
15 6 13
15 11 4
15 12 8
16 0 11
16 13 16
16 10 3
16 1 20
17 9 1
17 0 2
17 6 15
17 15 10
13 12
8
