20 89
0 6 7
0 16 1
0 19 13
0 2 17
0 4 8
1 5 15
1 17 20
1 11 18
1 13 9
2 16 15
2 3 9
2 4 16
2 14 19
3 5 17
3 7 6
3 15 7
3 1 19
3 0 12
3 10 8
3 13 2
4 7 16
4 6 7
4 16 19
4 18 12
4 2 12
4 3 18
5 15 20
5 11 15
5 19 18
5 18 15
5 1 11
6 16 19
6 3 12
6 9 9
7 5 8
7 15 6
7 4 16
7 14 1
8 7 7
8 17 15
8 15 16
8 6 9
8 2 1
9 15 3
9 11 16
9 12 18
9 16 14
10 5 4
10 17 3
10 6 8
10 12 12
10 2 18
10 13 13
11 12 9
11 16 4
11 1 17
11 10 6
12 7 8
12 15 20
12 11 1
12 1 11
12 0 19
13 16 15
13 19 16
13 3 5
13 1 10
13 0 18
13 10 18
14 15 15
14 9 7
14 1 8
15 7 2
16 15 7
16 12 14
16 3 8
16 4 18
16 8 7
17 7 2
17 16 18
17 2 6
17 3 15
17 8 12
17 0 7
17 10 14
19 5 18
19 17 11
19 18 19
19 10 20
19 13 6
1 16
62
