18 75
0 5 19
0 9 1
0 6 15
0 7 5
1 8 9
1 14 4
1 5 11
1 4 12
1 6 20
2 17 10
2 0 12
2 12 7
2 6 7
3 16 3
3 10 16
3 2 2
3 6 12
4 14 8
4 5 20
4 2 12
4 15 19
4 12 4
4 7 4
5 8 9
5 1 10
5 14 9
5 16 10
5 10 13
6 14 4
6 16 14
6 17 4
6 7 2
7 16 11
7 11 6
8 3 19
8 13 20
8 11 9
9 1 12
9 13 3
9 2 17
10 15 2
10 4 3
11 14 7
11 16 6
11 9 9
11 2 6
11 15 14
11 12 9
12 8 14
12 14 16
12 16 20
12 0 14
12 4 17
12 7 11
13 5 12
13 9 19
13 2 15
13 12 16
14 8 2
14 10 7
14 9 2
14 2 13
14 0 7
14 15 2
14 12 1
14 6 10
15 16 13
15 5 1
16 1 4
16 2 14
16 0 10
17 16 6
17 2 6
17 15 18
17 4 13
4 14
48
