17 80
0 2 9
0 10 2
0 12 15
0 13 2
0 1 11
0 7 7
0 3 6
1 0 15
1 12 4
1 6 6
1 11 18
1 13 9
1 14 17
1 4 7
2 14 7
2 9 20
3 10 6
3 11 16
3 13 3
3 1 16
3 9 18
3 4 13
4 15 15
4 5 8
4 6 19
4 11 6
5 15 16
5 16 5
5 13 18
5 14 10
5 9 7
5 4 13
6 0 19
6 2 11
6 10 5
6 13 20
7 15 2
7 5 16
7 12 13
7 16 20
7 13 4
7 3 12
8 10 4
9 0 20
9 4 8
10 0 2
10 5 13
10 16 1
10 14 9
10 3 2
11 2 12
11 15 8
11 13 19
11 4 9
11 8 9
11 3 2
12 5 13
12 10 7
12 16 6
13 15 10
13 5 3
13 11 2
13 16 7
13 9 3
13 3 18
14 10 16
14 12 15
14 7 8
14 9 14
15 0 11
15 11 7
15 16 1
15 13 16
15 1 17
15 14 4
15 8 8
16 15 8
16 5 2
16 6 17
16 8 8
3 4
50
