20 91
0 9 12
0 10 7
1 11 9
1 15 19
1 9 8
1 17 19
1 6 15
1 10 7
1 12 19
1 4 17
3 15 17
3 2 11
3 13 18
3 16 7
4 9 18
4 7 3
5 9 16
5 8 9
5 3 6
5 1 5
6 14 2
6 2 11
6 9 11
6 19 13
6 8 5
6 1 3
6 13 18
6 18 5
7 15 11
7 8 4
7 0 18
7 6 6
7 13 16
8 5 16
8 2 3
8 9 8
8 19 9
8 18 11
9 15 3
9 0 9
9 17 8
9 10 1
9 12 11
10 5 4
10 14 5
10 9 3
10 8 4
10 0 3
10 7 11
10 12 19
11 3 9
11 0 8
11 7 1
11 6 3
11 16 17
12 5 17
12 15 4
12 14 1
12 2 11
12 9 15
12 6 11
12 13 2
13 11 18
13 3 3
13 0 5
13 1 16
13 4 1
14 2 18
14 3 19
14 17 11
14 10 17
15 19 2
15 0 16
15 17 8
15 13 7
15 16 19
16 5 12
16 11 10
16 14 18
16 7 16
16 13 10
16 18 9
17 5 5
17 14 3
17 19 20
18 14 16
18 0 5
19 8 13
19 3 8
19 0 12
19 6 10
5 15
36
