18 82
0 6 13
0 17 3
0 11 7
0 8 11
0 16 10
0 7 15
1 15 5
1 14 12
1 10 1
1 8 19
1 7 8
1 13 8
2 6 5
3 9 7
3 12 4
3 11 2
3 8 7
4 15 13
4 14 9
4 17 10
5 9 19
5 2 12
5 12 16
5 16 2
6 0 19
6 17 14
6 1 6
6 5 14
6 11 6
6 16 14
7 4 9
7 14 5
7 9 8
7 1 20
7 10 6
7 8 16
8 6 9
8 16 3
8 7 13
9 14 14
9 3 9
9 1 2
9 16 8
9 7 12
9 13 13
10 4 17
10 0 18
10 15 3
10 6 9
10 1 6
10 2 3
10 12 10
11 4 6
11 15 19
11 6 19
11 8 6
11 13 9
12 4 13
12 15 8
12 2 20
12 16 4
12 7 19
13 14 19
13 6 4
13 17 4
13 5 10
13 7 8
14 17 16
15 14 14
15 3 13
15 17 1
15 7 9
16 6 20
16 3 14
16 1 17
16 12 19
17 15 11
17 9 7
17 2 20
17 5 4
17 11 17
17 8 14
12 4
35
