19 87
0 3 13
0 18 19
0 6 12
0 2 6
0 16 18
0 13 2
1 7 16
1 13 7
1 4 8
2 10 10
2 5 3
2 18 1
2 16 6
2 8 1
3 7 10
3 15 12
3 2 8
3 8 9
3 4 19
4 5 5
4 3 17
4 15 15
4 14 9
4 18 16
4 11 19
4 1 11
4 12 6
5 9 7
5 10 18
5 0 5
5 17 10
5 6 2
5 11 4
5 8 5
6 14 11
6 11 12
6 13 12
7 3 11
8 14 8
9 14 12
9 6 20
9 11 13
9 13 17
9 12 13
10 9 2
10 7 19
10 16 5
10 11 4
10 13 11
11 9 6
11 10 17
11 17 19
11 14 9
11 6 16
11 8 11
11 12 17
12 7 5
12 18 11
12 6 13
12 2 11
12 1 6
13 14 12
13 1 7
13 12 20
14 9 14
14 10 8
14 7 16
14 6 14
14 2 11
14 8 6
15 17 10
15 2 6
16 5 17
16 3 17
16 15 7
16 2 6
16 11 12
16 13 12
16 12 3
17 15 10
17 14 12
17 11 3
17 8 9
18 5 12
18 15 11
18 11 5
18 8 2
4 14
73
