19 87
0 6 15
0 18 2
0 16 11
1 0 20
1 18 16
1 7 12
1 16 3
1 10 12
1 13 15
1 15 11
1 12 12
2 0 4
2 18 3
2 9 20
2 16 20
2 17 17
2 13 9
2 15 7
3 6 5
3 16 7
3 17 14
4 6 2
4 1 15
4 11 6
4 17 9
5 6 2
5 18 14
5 8 11
5 9 13
5 2 17
5 17 5
5 14 20
5 13 2
6 18 18
6 2 15
6 3 12
6 14 12
7 16 16
8 2 15
8 3 4
8 10 18
8 5 15
9 4 5
9 2 12
9 14 10
10 8 6
10 3 10
10 14 13
10 12 16
11 6 7
11 0 6
11 2 14
11 1 19
11 13 19
12 0 13
12 2 2
12 10 15
12 5 7
12 15 13
13 4 19
13 8 11
13 16 15
13 10 1
13 12 3
14 18 13
14 8 3
14 9 10
14 3 9
14 13 1
14 12 3
15 6 14
15 4 1
15 13 9
16 6 18
16 8 5
16 9 19
16 2 8
16 17 9
16 10 5
17 6 13
17 0 16
17 15 10
18 4 6
18 8 1
18 3 10
18 5 1
18 13 1
17 14
39
