19 86
0 6 11
0 7 11
0 9 8
0 8 19
0 1 20
0 15 3
1 7 13
1 5 12
1 10 16
1 15 5
2 8 19
2 4 19
2 11 16
2 15 18
3 6 9
3 7 19
3 13 3
3 2 7
3 18 10
3 8 19
3 12 7
3 4 13
3 16 9
3 15 7
4 17 3
4 6 18
4 7 7
4 12 9
4 10 8
4 1 11
4 16 10
4 15 5
5 18 11
5 1 3
6 18 18
6 4 9
6 10 20
6 15 12
7 17 7
8 18 19
8 1 11
8 11 12
8 15 8
9 7 2
9 13 10
9 12 18
10 7 14
10 3 11
10 13 5
10 12 4
10 14 13
10 0 20
11 2 15
11 9 11
11 18 14
11 8 19
11 14 6
12 5 5
12 2 13
12 16 5
12 11 3
12 0 14
13 3 4
14 3 17
14 5 19
14 8 12
14 12 17
14 11 11
15 7 20
15 5 2
15 11 11
16 6 6
16 2 4
16 9 12
16 8 18
16 10 9
16 15 8
17 2 4
17 14 17
17 1 16
17 11 8
18 5 8
18 2 17
18 12 17
18 4 6
18 1 13
1 0
34
