20 93
0 9 12
0 5 8
0 7 16
0 16 13
0 10 8
0 1 8
1 4 20
1 13 3
1 5 18
1 7 17
1 2 17
2 8 11
2 18 1
2 6 3
2 1 1
3 13 19
3 5 9
3 1 15
4 3 16
4 17 5
4 12 14
4 11 11
5 9 12
5 17 15
5 15 18
5 16 8
5 12 2
5 19 15
5 11 5
6 3 16
6 14 6
6 10 18
6 19 7
6 1 13
7 15 12
7 0 5
7 19 15
7 11 17
8 0 15
8 7 4
8 14 15
8 10 8
8 2 14
8 1 3
9 4 1
9 3 10
9 12 12
10 18 3
10 5 16
10 1 12
10 11 18
11 9 10
11 13 13
11 3 6
11 6 1
11 15 10
11 19 11
12 6 17
12 0 16
12 14 19
12 10 8
13 3 12
13 17 3
13 7 11
13 12 13
14 4 20
14 6 7
14 7 3
15 13 1
15 3 8
15 7 9
16 9 20
16 13 15
16 17 11
16 2 15
16 1 4
16 11 9
17 9 10
17 3 19
17 15 6
17 5 10
17 19 19
17 11 14
18 4 12
18 15 14
18 14 20
18 12 18
18 19 2
19 9 7
19 8 3
19 6 14
19 7 16
19 10 18
7 16
21
