17 73
1 3 14
1 0 8
1 8 20
1 14 11
1 15 17
1 7 8
1 11 2
1 4 12
2 13 11
2 5 7
2 15 19
2 7 3
3 1 15
3 12 9
3 8 3
3 7 7
3 4 1
4 2 3
4 9 1
4 15 10
4 16 9
5 10 3
5 12 5
5 3 3
5 15 16
6 1 8
6 2 12
6 0 12
6 8 4
6 9 7
6 7 10
6 16 4
7 15 19
7 11 12
7 16 17
8 12 2
8 0 9
8 9 4
8 14 7
8 15 17
8 16 9
9 3 6
9 6 5
9 5 4
9 16 20
10 2 17
10 3 20
10 14 3
10 4 19
10 16 11
11 9 17
11 14 5
11 15 7
11 16 15
12 2 15
12 10 7
12 8 1
12 9 15
12 5 16
12 14 4
12 16 8
13 1 12
13 14 18
14 2 6
14 13 8
14 5 8
14 7 12
14 16 3
15 14 11
15 7 17
15 11 8
16 2 11
16 4 10
14 5
30
