19 75
0 5 6
0 14 12
1 16 20
1 11 13
1 8 6
1 3 4
1 13 16
1 5 4
1 14 3
1 4 6
2 5 18
3 1 1
3 11 19
3 9 6
3 18 9
3 15 7
3 17 6
4 16 13
5 1 5
5 14 2
5 4 4
6 18 18
6 14 20
7 1 1
7 9 4
7 12 13
7 14 1
7 2 5
8 13 13
8 4 9
8 17 19
8 0 14
9 10 19
9 0 15
10 16 7
10 11 18
10 13 19
10 14 3
10 17 12
10 0 17
11 1 13
11 3 10
11 14 16
11 0 18
12 16 11
12 11 8
12 8 4
12 9 15
13 1 10
13 16 13
13 10 19
13 9 16
13 4 11
13 0 20
14 10 16
14 15 2
14 7 10
15 10 9
15 14 16
15 4 10
16 11 13
16 18 5
16 4 1
16 7 4
17 13 2
17 5 4
17 2 13
17 7 7
17 0 19
18 8 2
18 6 18
18 3 20
18 13 16
18 2 10
18 17 13
2 11
11
