17 71
0 7 9
0 14 6
1 0 16
1 13 15
1 14 5
2 7 10
2 6 13
2 13 14
2 16 1
2 10 17
2 5 17
3 9 13
3 7 2
3 14 17
3 4 11
3 10 2
4 15 6
4 13 12
4 14 11
4 8 8
5 15 5
5 10 14
5 11 2
5 8 11
6 1 5
6 7 6
6 12 5
6 2 3
6 16 11
6 10 18
7 9 18
7 6 4
7 3 18
7 13 1
7 8 5
8 3 5
8 12 13
8 10 17
9 6 10
9 2 1
9 16 17
10 9 2
10 3 3
10 4 10
11 1 18
11 0 17
11 3 16
11 2 14
11 14 19
11 5 11
12 1 14
12 0 6
12 2 5
12 16 15
12 10 7
13 9 10
13 7 1
13 16 20
13 4 10
14 0 16
14 3 20
14 13 16
14 16 7
15 12 14
15 13 6
15 14 14
15 8 4
16 1 3
16 0 12
16 9 4
16 2 3
0 15
11
