20 104
0 9 6
0 12 2
0 3 10
0 10 18
0 16 15
0 19 9
1 7 13
1 13 8
1 8 4
1 0 14
1 19 15
2 11 19
2 7 18
2 12 18
2 8 15
2 10 15
3 18 19
3 1 17
3 4 20
3 5 10
3 15 3
4 0 2
4 6 20
4 3 14
4 15 19
4 19 12
5 7 2
5 18 11
5 1 4
5 4 5
5 16 14
5 14 4
6 9 15
6 13 15
6 12 13
6 17 16
6 19 9
7 1 1
7 8 6
7 6 14
7 3 19
7 10 17
7 15 18
8 1 11
8 12 4
8 16 17
9 7 6
9 1 14
9 4 8
9 14 17
10 0 19
10 3 9
10 16 6
10 14 17
11 7 17
11 12 18
11 17 5
11 4 17
11 3 12
11 5 10
12 9 3
12 18 7
12 2 19
12 4 3
12 3 19
12 14 19
13 11 13
13 9 18
13 0 2
13 10 6
14 7 4
14 9 8
14 2 9
14 12 11
14 17 14
14 8 10
14 6 2
14 3 16
14 5 15
14 19 13
15 1 6
15 4 19
15 5 20
15 19 19
15 14 9
16 9 1
16 18 17
16 1 4
16 2 18
16 12 11
16 0 16
16 15 11
17 13 16
17 2 20
17 4 8
17 3 18
17 10 5
17 14 18
18 7 5
18 13 5
18 8 20
18 16 10
19 7 13
19 17 19
11 8
55
