16 70
0 5 12
0 8 7
0 12 12
0 13 19
0 2 17
0 7 8
0 3 6
0 11 9
0 9 6
0 14 9
1 8 10
1 12 5
1 13 1
1 7 4
1 6 6
1 15 18
1 0 9
2 3 9
2 6 20
2 9 1
2 14 18
3 8 3
3 10 20
3 1 10
4 12 16
4 2 15
4 3 11
4 10 6
5 15 10
6 5 4
6 3 16
6 10 10
6 11 2
7 8 14
7 6 6
8 3 9
8 10 16
8 11 17
9 8 8
9 12 6
9 3 10
9 10 18
9 14 8
10 13 17
10 2 9
10 7 18
10 3 3
10 15 12
10 0 10
11 13 3
11 10 20
11 9 3
12 3 6
12 11 12
12 4 3
12 15 19
12 0 5
12 14 6
12 1 6
13 5 12
13 8 4
13 6 6
13 0 13
14 13 6
14 2 15
14 10 1
15 8 4
15 12 8
15 3 15
15 10 10
14 15
22
