18 84
0 11 4
0 17 20
0 14 5
0 2 4
0 15 1
0 4 12
1 11 19
1 5 10
1 13 5
1 8 20
1 16 3
2 7 11
2 17 15
2 12 5
2 9 4
3 5 3
3 14 17
3 9 5
4 11 6
4 6 16
4 12 19
5 0 13
5 8 10
5 4 5
5 9 18
6 5 18
6 1 19
6 7 13
6 8 18
6 2 16
6 15 10
6 4 6
6 3 10
7 0 7
7 17 18
7 14 10
7 8 6
8 5 9
8 7 19
8 17 4
8 14 18
8 2 12
8 16 3
9 11 6
9 13 18
9 12 10
9 15 4
9 3 7
9 10 5
10 0 15
10 14 2
10 8 7
10 2 19
11 5 9
11 1 19
11 8 8
12 11 11
12 5 12
12 6 1
12 0 6
12 14 20
12 15 16
12 9 11
13 2 18
13 16 17
13 10 14
14 11 12
14 13 3
14 6 5
14 0 8
14 12 10
14 9 9
15 13 18
15 8 8
15 3 3
15 9 5
16 1 2
16 12 5
16 9 10
17 6 2
17 0 14
17 12 3
17 15 15
17 4 18
14 7
43
