19 79
0 5 8
0 14 16
0 18 13
1 14 11
1 7 11
1 9 14
2 17 3
2 15 5
2 4 7
2 1 14
2 12 20
3 5 11
3 6 13
3 2 6
3 12 3
4 17 6
4 15 13
4 16 5
4 8 8
4 3 8
4 1 14
4 2 19
4 0 9
5 10 3
5 4 16
5 3 14
5 9 18
6 4 20
6 3 5
6 2 20
6 0 20
7 17 5
7 15 1
7 18 8
8 3 15
8 12 19
8 0 2
9 17 13
9 10 18
9 18 15
10 6 18
10 16 4
10 4 12
10 12 5
11 16 8
11 7 1
11 4 16
11 13 3
12 14 14
12 16 14
12 7 10
12 10 9
12 2 1
12 18 14
13 10 18
13 8 13
13 3 4
13 2 17
14 15 9
14 7 14
14 3 20
14 2 11
14 18 5
15 9 5
15 18 6
15 11 20
16 5 8
16 6 13
16 4 5
16 13 12
16 12 18
16 18 15
17 5 8
17 6 9
18 15 5
18 5 5
18 14 16
18 10 2
18 4 19
18 13
15
