20 88
0 6 12
0 4 13
1 16 6
1 3 10
1 8 18
1 2 4
2 12 20
2 16 12
2 7 17
2 1 9
2 8 3
2 0 6
2 19 12
3 10 8
3 7 14
3 11 13
3 9 5
3 6 3
4 0 8
4 17 5
4 2 9
4 13 10
5 12 11
5 11 2
5 15 14
5 2 13
5 6 4
6 12 17
6 7 20
6 1 4
6 2 3
6 13 20
7 12 20
7 16 20
7 13 19
7 6 9
8 7 19
8 19 3
8 2 3
8 5 17
9 16 10
9 1 14
9 0 4
9 4 13
10 12 15
10 3 4
10 18 7
10 8 13
10 15 19
11 3 18
11 0 19
11 17 7
11 19 14
11 2 13
11 6 9
11 14 10
12 3 8
12 0 3
12 17 10
12 19 16
13 19 20
13 2 19
14 18 3
14 17 4
14 9 7
14 6 14
15 12 16
15 3 10
15 18 11
15 8 6
15 0 13
15 9 18
15 5 5
16 17 4
16 2 13
16 4 8
16 14 17
17 3 2
17 0 20
17 4 9
18 1 8
18 8 12
18 0 2
18 9 6
18 2 4
18 14 16
19 3 13
19 17 10
2 8
32
