18 82
0 16 12
0 5 8
0 6 10
0 14 5
1 13 16
1 2 17
1 14 10
1 7 17
1 9 1
2 13 5
2 6 7
2 14 19
2 12 6
3 8 7
3 5 2
3 4 1
3 6 13
3 17 3
4 8 2
4 5 2
4 10 12
4 7 5
4 3 5
4 15 20
5 16 14
5 4 1
5 2 20
5 6 17
5 10 10
5 11 11
5 3 1
5 12 16
5 15 7
6 12 1
7 13 15
7 5 5
7 0 6
7 15 12
8 10 6
8 11 16
8 0 14
8 12 14
8 15 18
8 17 9
9 16 18
9 6 1
10 8 17
10 5 8
10 0 12
10 1 17
10 17 4
11 16 8
12 8 4
12 5 15
12 10 2
12 17 4
13 16 6
13 4 1
13 7 20
13 9 6
13 3 16
13 15 14
14 16 14
14 0 12
14 3 3
14 15 14
14 17 12
15 8 20
15 13 14
15 0 18
15 12 20
16 13 5
16 10 13
16 7 6
16 1 16
16 17 8
17 16 16
17 13 16
17 4 4
17 6 4
17 11 11
17 12 10
14 10
38
