17 72
0 10 3
0 5 16
1 6 12
1 11 3
2 16 14
2 1 2
2 0 4
2 14 18
3 16 15
3 6 14
3 8 12
3 9 10
4 6 9
4 2 3
4 8 9
4 9 19
5 13 5
6 16 12
6 12 18
6 9 2
6 5 11
7 10 9
7 2 13
7 15 15
7 13 9
7 11 15
8 16 2
8 12 2
8 10 12
8 1 19
8 4 14
8 0 18
8 5 19
8 11 4
9 3 15
9 12 2
9 1 9
9 0 5
9 11 17
10 16 13
10 1 4
10 11 1
11 10 17
11 1 14
11 15 4
12 16 13
12 13 11
12 5 1
12 14 12
13 12 18
13 2 13
13 1 12
13 8 16
13 0 5
13 9 4
13 5 11
13 11 14
13 14 6
14 3 18
14 12 15
14 15 11
14 11 13
15 16 13
15 1 16
15 4 14
15 0 4
15 13 12
15 11 13
15 14 5
16 6 5
16 10 19
16 14 5
14 5
55
