19 92
0 18 9
0 12 11
0 1 15
0 4 2
1 2 12
1 11 16
1 5 7
1 13 9
1 10 15
2 8 1
2 0 8
2 5 8
2 3 2
2 9 8
2 4 1
2 14 10
3 16 9
3 8 19
3 15 12
3 0 17
3 9 18
3 4 19
3 14 11
4 7 11
4 3 6
4 9 16
4 10 9
5 8 3
5 15 9
5 3 9
5 10 5
6 15 16
6 12 17
6 5 5
6 7 15
6 1 2
7 18 15
7 17 12
7 1 20
7 10 3
8 11 13
8 14 15
9 0 3
9 7 4
9 13 1
9 14 9
9 10 19
10 8 12
10 2 3
10 12 14
10 7 20
10 3 11
10 9 5
11 18 14
11 5 20
11 17 12
11 3 15
11 13 1
11 14 7
12 8 11
12 2 5
12 11 1
12 0 1
12 5 4
12 1 18
12 9 20
12 14 6
12 10 2
13 0 16
13 5 5
13 9 7
13 10 4
14 8 3
14 11 8
14 12 16
14 5 6
14 7 11
14 13 9
14 4 16
15 0 2
15 4 11
16 6 6
16 18 8
16 12 13
16 9 9
17 18 4
17 8 14
17 0 8
18 11 15
18 12 1
18 3 14
18 9 5
7 3
50
