18 84
0 4 2
0 16 7
0 2 1
0 5 2
1 15 6
1 14 4
1 17 16
1 2 12
1 5 6
1 3 11
1 7 13
1 0 2
2 10 8
2 17 14
2 11 20
2 5 12
2 3 13
2 12 11
3 4 9
3 12 8
3 13 8
3 0 4
4 11 20
5 15 9
5 8 20
6 15 14
6 17 3
6 0 8
7 9 3
7 8 8
7 4 17
7 3 2
7 12 2
7 1 17
7 0 5
8 4 18
8 16 2
8 3 6
8 1 1
8 13 8
8 0 17
9 8 18
9 4 17
9 17 11
9 11 3
9 7 8
10 17 4
10 2 4
10 11 10
11 15 11
11 16 12
11 17 20
11 5 9
11 7 12
11 13 16
11 0 15
12 10 9
12 17 13
12 2 16
12 5 7
12 1 19
13 6 12
13 2 17
13 3 9
13 7 20
14 15 2
14 9 4
14 16 4
14 5 9
14 3 7
15 14 2
15 8 4
15 16 19
15 2 10
15 11 19
15 5 12
15 13 10
15 0 4
16 4 19
16 6 7
16 10 19
16 12 3
16 0 2
17 15 8
8 12
24
