19 83
0 9 9
0 10 10
0 16 8
0 18 19
0 2 3
1 7 5
1 15 20
1 13 18
1 2 10
2 6 11
2 4 7
2 9 4
2 12 4
2 14 14
2 17 6
2 13 18
2 8 15
2 0 17
3 12 5
4 12 4
4 15 17
4 14 5
4 16 16
4 8 12
4 0 17
5 12 17
6 9 6
6 15 19
6 17 9
6 13 20
6 16 2
7 6 2
7 12 2
7 14 17
7 1 14
7 5 2
7 13 8
7 16 15
7 8 11
7 18 1
7 2 8
8 12 20
8 15 19
8 14 2
8 0 19
9 7 20
9 8 2
10 6 6
10 9 7
10 17 15
11 6 10
11 5 19
11 16 18
11 8 9
12 4 8
12 11 17
12 5 18
12 8 6
12 3 9
13 14 7
13 17 15
13 5 10
13 2 12
14 10 13
14 1 2
14 17 1
14 5 2
14 16 12
15 6 2
15 7 15
15 4 19
15 12 9
15 8 6
16 11 12
16 14 10
16 3 1
17 6 13
17 0 12
17 2 8
18 7 9
18 5 16
18 13 17
18 0 6
14 2
30
