20 109
0 18 6
0 5 18
0 7 11
1 3 1
1 4 13
1 0 1
1 10 10
1 15 19
2 4 14
2 6 20
2 1 9
2 13 9
2 16 7
2 18 20
2 17 17
2 5 7
3 9 12
3 0 7
3 1 17
3 14 10
3 15 2
3 17 4
3 7 16
3 12 9
4 1 11
4 8 19
5 10 7
6 3 2
6 4 9
6 13 18
6 10 19
6 19 2
6 5 9
6 12 12
7 3 20
7 6 1
7 10 5
7 15 3
7 17 2
7 12 5
8 9 20
8 4 13
8 16 16
8 5 1
8 7 16
8 12 16
9 4 12
9 6 3
9 0 10
9 10 5
9 19 16
9 12 10
10 9 8
10 2 18
10 0 6
10 14 9
10 19 2
10 5 10
10 7 8
11 9 8
11 0 7
11 16 7
11 19 2
11 12 17
12 3 19
12 4 15
12 11 18
12 17 6
12 5 1
12 7 15
13 6 17
13 0 16
13 16 7
13 7 13
14 9 7
14 4 15
14 16 8
14 11 1
14 15 8
14 7 6
15 3 9
15 2 10
15 1 12
15 16 19
15 10 10
16 3 14
16 0 12
16 14 19
16 17 9
16 19 3
17 3 13
17 4 18
17 1 15
17 16 14
17 19 8
17 8 12
18 6 2
18 0 7
18 13 5
18 10 3
18 11 17
18 14 20
18 15 17
18 5 8
19 6 8
19 1 8
19 16 19
19 18 11
19 12 17
16 10
57
